Facility ID,casemixindex,cases,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating,Total Number of Discharges,Sum Predicted Readmissions,Sum Expected Readmissions,Total Excess Readmission Ratio
50211,1.6064,806,1.049643,0.993179,0,Government - Hospital District or Authority,Government,Hospital District or Authority,4,353,63.631917,62.472523,1.0186
50222,1.9452,"3,502",0.950725,0.975972,1,Proprietary,Proprietary,,4,1022,202.660673,194.843151,1.0401
50224,1.8926,"8,311",1.025781,1.007337,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2156,384.191842,380.531482,1.0096
50226,2.0444,"1,216",1.147752,1.062378,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,451,93.752975,91.580189,1.0237
50228,1.7415,"2,980",0.973523,0.957481,2,Government - Local,Government,Local,2,490,99.503558,95.137658,1.0459
50230,1.9953,975,1.09074,1.068545,0,Proprietary,Proprietary,,3,347,64.838421,66.656826,0.9727
50231,2.2118,"2,575",0.988883,0.973071,1,Voluntary non-profit - Private,Voluntary non-profit,Private,3,603,116.279254,118.770778,0.979
50232,2.0614,"2,015",0.95425,0.97885,1,Voluntary non-profit - Private,Voluntary non-profit,Private,5,813,133.557585,139.812153,0.9553
50235,1.9313,"4,548",1.013239,1.047608,0,Voluntary non-profit - Church,Voluntary non-profit,Church,4,1475,292.943356,271.230373,1.0801
50236,1.6184,"2,388",1.039258,1.043449,0,Voluntary non-profit - Church,Voluntary non-profit,Church,3,689,147.271747,136.354446,1.0801
50238,1.9755,"3,503",1.136461,1.135876,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1304,272.342251,258.672127,1.0528
50239,2.0293,"5,526",1.054543,1.096979,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2197,457.508568,438.620874,1.0431
50242,1.9644,"3,918",0.99184,0.99612,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1214,199.963606,203.547423,0.9824
50243,2.0258,"2,759",0.994715,1.039062,0,Proprietary,Proprietary,,2,661,126.524231,121.896362,1.038
50245,1.9445,"1,388",1.052133,1.037444,0,Government - Local,Government,Local,3,196,37.553992,39.791332,0.9438
50248,1.6819,"1,299",1.067129,1.030895,0,Government - Local,Government,Local,3,200,38.653508,36.678264,1.0539
50254,1.5562,"1,942",0.938168,0.928333,4,Voluntary non-profit - Private,Voluntary non-profit,Private,4,710,124.447232,124.591389,0.9988
50261,1.6545,"1,467",0.992845,0.983302,1,Voluntary non-profit - Private,Voluntary non-profit,Private,1,642,125.081915,122.665307,1.0197
50262,2.7436,"5,631",1.043095,1.032109,0,Government - State,Government,State,5,779,158.927631,161.211136,0.9858
50272,1.9507,"1,182",0.934615,0.962983,2,Voluntary non-profit - Private,Voluntary non-profit,Private,3,291,54.497067,55.958019,0.9739
50276,1.312,679,0.892263,0.840112,10,Government - Local,Government,Local,4,72,15.219432,15.736752,0.9671
50278,2.0533,"2,822",1.035293,0.999206,0,Voluntary non-profit - Church,Voluntary non-profit,Church,5,817,172.288464,174.7427,0.986
50280,2.0319,"5,173",0.992185,0.971403,2,Voluntary non-profit - Private,Voluntary non-profit,Private,2,1939,294.463925,299.380349,0.9836
50281,1.7964,865,1.26527,1.184819,0,Proprietary,Proprietary,,4,321,69.40917,64.010949,1.0843
50283,2.144,"2,069",0.997261,0.994697,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,797,146.96607,147.320249,0.9976
50289,1.9621,"1,005",0.962618,0.930867,4,Voluntary non-profit - Church,Voluntary non-profit,Church,1,494,90.404536,86.327042,1.0472
50290,2.099,"4,757",0.997141,1.014718,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2775,248.840731,257.898637,0.9649
50291,1.8846,"2,089",0.945273,0.944259,3,Voluntary non-profit - Other,Voluntary non-profit,Other,5,550,89.285532,96.644503,0.9239
50292,1.7489,"1,898",1.004476,1.078091,0,Government - Local,Government,Local,3,111,22.554423,23.803062,0.9475
50295,1.7969,"1,925",1.005811,0.991728,0,Voluntary non-profit - Other,Voluntary non-profit,Other,3,480,86.120124,87.236513,0.9872
50300,1.9302,"2,064",1.030162,0.982259,1,Voluntary non-profit - Private,Voluntary non-profit,Private,2,774,163.7005,160.718512,1.0186
50301,1.6108,"1,211",0.934432,0.941892,3,Voluntary non-profit - Church,Voluntary non-profit,Church,3,322,52.742186,55.895546,0.9436
50305,1.8662,"2,195",1.031734,0.999294,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,348,66.894448,67.548332,0.9903
50308,1.972,"5,545",1.00045,0.998311,0,Government - Hospital District or Authority,Government,Hospital District or Authority,5,1957,270.738706,273.963272,0.9882
50309,1.8773,"6,892",0.950951,0.92578,4,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1952,266.29384,308.578954,0.863
50313,1.6843,914,1.011192,0.961808,2,Voluntary non-profit - Private,Voluntary non-profit,Private,5,239,45.724082,48.776739,0.9374
50320,1.7512,"2,589",1.092072,1.032524,0,Government - Hospital District or Authority,Government,Hospital District or Authority,1,461,88.997127,88.286877,1.008
50324,2.2836,"5,584",0.979728,0.966671,2,Physician,Physician,,5,1258,202.366085,224.87059,0.8999
50327,2.4763,"4,110",1.008997,1.012729,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,895,171.34102,172.666283,0.9923
50329,2.0201,"1,156",1.062755,1.003709,0,Proprietary,Proprietary,,3,273,50.14583,51.605001,0.9717
50334,1.9315,"3,534",0.989302,0.982433,1,Voluntary non-profit - Other,Voluntary non-profit,Other,4,1359,232.65021,245.023846,0.9495
50335,1.7621,"2,096",0.87937,0.901205,6,Voluntary non-profit - Church,Voluntary non-profit,Church,4,676,106.18374,119.968845,0.8851
50336,1.6236,"1,999",0.94816,0.95371,3,Voluntary non-profit - Other,Voluntary non-profit,Other,4,785,142.590671,142.529206,1.0004
50348,2.2962,"4,309",1.005405,1.019305,0,Government - Local,Government,Local,3,517,104.2366,105.052698,0.9922
50350,1.822,"1,332",1.063755,1.101704,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,318,63.294412,60.517894,1.0459
50351,1.9794,"5,271",0.966705,0.969366,2,Voluntary non-profit - Other,Voluntary non-profit,Other,4,2022,333.34198,302.264756,1.1028
50353,1.9339,"3,104",0.938308,0.967157,2,Voluntary non-profit - Church,Voluntary non-profit,Church,4,877,166.960588,160.810641,1.0382
50357,1.9394,555,0.972107,0.937832,4,Voluntary non-profit - Other,Voluntary non-profit,Other,5,705,21.90576,26.03424,0.8414
50360,1.9097,"3,175",1.012142,0.98141,1,Government - Local,Government,Local,5,949,145.798386,159.398345,0.9147
50367,1.9758,"3,387",0.985517,0.94603,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1333,258.662311,252.349111,1.025
50380,1.9073,"4,624",1.046323,1.036087,0,Proprietary,Proprietary,,3,1846,291.499106,278.08197,1.0482
50382,1.9442,"3,075",1.153205,1.184424,0,Proprietary,Proprietary,,2,1115,223.070537,204.79101,1.0893
50390,1.7565,"1,478",1.045385,1.063566,0,Physician,Physician,,1,431,89.971586,85.672633,1.0502
50393,1.6493,"1,424",1.009563,1.009137,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,355,73.162551,69.526533,1.0523
50396,2.0878,"5,651",1.026036,1.006414,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1304,194.089374,211.07264,0.9195
50407,1.4465,479,0.89784,0.842293,10,Voluntary non-profit - Private,Voluntary non-profit,Private,4,165,27.256801,25.779952,1.0573
50414,1.6488,"2,035",0.90721,0.916087,5,Voluntary non-profit - Private,Voluntary non-profit,Private,3,799,130.376978,119.509502,1.0909
50417,1.7641,716,0.866483,0.937147,4,Government - Hospital District or Authority,Government,Hospital District or Authority,3,295,50.971574,53.544322,0.952
50424,2.2719,"2,248",0.945531,0.941849,3,Voluntary non-profit - Other,Voluntary non-profit,Other,5,932,51.515654,54.877106,0.9387
50426,2.1433,"1,506",1.048189,1.104217,0,Proprietary,Proprietary,,4,577,124.330051,121.143113,1.0263
50438,2.0276,"5,014",1.008736,1.010045,0,Voluntary non-profit - Other,Voluntary non-profit,Other,4,1861,280.337565,278.539612,1.0065
50441,2.7244,"10,322",0.994447,1.001539,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2127,299.860758,303.28106,0.9887
50444,1.6702,"3,190",0.964381,0.932246,4,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1590,304.587504,290.403603,1.0488
50454,2.8523,"9,171",0.989862,0.987872,1,Voluntary non-profit - Other,Voluntary non-profit,Other,5,1520,221.98318,221.30452,1.0031
50455,1.9227,"2,764",1.022483,1.056598,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,827,152.559166,156.585992,0.9743
50457,1.9818,"1,221",0.928703,0.992435,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,479,95.647082,93.195104,1.0263
50464,2.2125,"4,024",0.990419,0.974073,1,Proprietary,Proprietary,,1,1282,244.205741,222.497253,1.0976
50468,1.8597,"1,068",1.237428,1.10916,0,Proprietary,Proprietary,,2,325,72.17693,73.08555,0.9876
50471,2.3507,"2,947",1.061547,1.090179,0,Proprietary,Proprietary,,3,679,131.022731,131.673912,0.9951
