Facility ID,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points
50036,0.994251,1.016984,0,0
50038,1.019345,1.011347,0,0
50039,0.94822,0.979545,1,0
50040,0.831885,0.862434,8,0
50042,0.918965,0.951348,3,0
50043,1.012586,1.005597,0,0
50045,0.903985,0.936796,4,0
50047,0.942519,0.989866,0,0
50054,1.081527,1.063783,0,0
50055,0.936485,0.972547,1,0
50056,1.02408,0.990655,0,1
50057,0.969905,0.96889,2,0
50058,1.104509,1.125935,0,0
50060,1.006049,1.016628,0,0
50063,1.09811,1.069598,0,1
50069,1.007556,0.992638,0,0
50070,0.843878,0.808399,10,9
50071,0.917271,0.856388,9,8
50072,0.907131,0.986095,1,0
50073,0.839749,0.950108,3,0
50075,0.951573,0.944754,3,0
50076,0.786066,0.831391,10,0
50078,0.989215,1.019758,0,0
50082,0.97566,0.990471,0,0
50084,0.973148,0.954687,3,1
50090,0.924432,0.945154,3,0
50091,1.080875,1.086272,0,0
50093,0.949431,0.958479,2,0
50099,1.054015,1.066037,0,0
50100,0.984151,0.963421,2,1
50101,1.009364,0.988542,0,1
50102,1.21395,1.141153,0,1
50103,1.068018,1.034743,0,1
50104,1.071637,1.053525,0,0
50107,0.919149,0.922509,5,0
50108,0.9736,0.976793,1,0
50110,1.004285,1.005416,0,0
50112,1.055164,1.055821,0,0
50115,1.01749,1.046616,0,0
50118,0.957993,0.933643,4,2
50121,0.955747,0.993242,0,0
50122,1.018542,0.969881,2,2
50124,1.084086,1.035391,0,2
50125,0.968977,0.956842,2,0
50126,1.112751,1.109858,0,0
50127,0.902267,0.965742,2,0
50128,0.997091,0.988836,0,0
50131,0.895418,0.911843,5,0
50132,1.265463,1.143988,0,2
50133,0.973503,1.034732,0,0
50135,1.304259,1.219526,0,1
50136,0.959174,0.968157,2,0
50137,0.997212,1.082286,0,0
50138,0.971853,1.012525,0,0
50139,0.79742,0.939534,4,0
50145,0.917778,0.950459,3,0
50150,0.923975,0.916788,5,0
50152,1.009419,1.074635,0,0
50158,1.107182,1.125093,0,0
50159,0.97277,0.98957,0,0
50167,1.021867,1.014427,0,0
50168,1.040707,1.027614,0,0
50169,0.949648,0.971267,2,0
50174,0.98308,1.015463,0,0
50179,1.030335,0.925072,4,5
50180,0.962518,0.965517,2,0
50194,0.991904,0.932151,4,4
50195,0.999152,1.010578,0,0
50197,0.956479,0.949834,3,0
50204,1.045378,1.031691,0,0
50211,1.049643,0.993179,0,2
50222,0.950725,0.975972,1,0
50224,1.025781,1.007337,0,1
50226,1.147752,1.062378,0,2
50228,0.973523,0.957481,2,1
50230,1.09074,1.068545,0,0
50231,0.988883,0.973071,1,1
50232,0.95425,0.97885,1,0
50234,0.866845,0.959484,2,0
50235,1.013239,1.047608,0,0
50236,1.039258,1.043449,0,0
50238,1.136461,1.135876,0,0
50239,1.054543,1.096979,0,0
50242,0.99184,0.99612,0,0
50243,0.994715,1.039062,0,0
50245,1.052133,1.037444,0,0
50248,1.067129,1.030895,0,1
50254,0.938168,0.928333,4,1
50261,0.992845,0.983302,1,0
50262,1.043095,1.032109,0,0
50272,0.934615,0.962983,2,0
50276,0.892263,0.840112,10,9
50278,1.035293,0.999206,0,1
50279,0.918371,0.927073,4,0
50280,0.992185,0.971403,2,1
50281,1.26527,1.184819,0,1
50283,0.997261,0.994697,0,0
50289,0.962618,0.930867,4,2
50290,0.997141,1.014718,0,0
50291,0.945273,0.944259,3,0
50292,1.004476,1.078091,0,0
50295,1.005811,0.991728,0,0
50298,0.99356,1.055119,0,0
50300,1.030162,0.982259,1,2
50301,0.934432,0.941892,3,0
50305,1.031734,0.999294,0,1
50308,1.00045,0.998311,0,0
50309,0.950951,0.92578,4,2
50313,1.011192,0.961808,2,2
50315,1.06104,0.987782,1,3
50320,1.092072,1.032524,0,2
50324,0.979728,0.966671,2,0
50327,1.008997,1.012729,0,0
50329,1.062755,1.003709,0,2
50334,0.989302,0.982433,1,0
50335,0.87937,0.901205,6,0
50336,0.94816,0.95371,3,0
50348,1.005405,1.019305,0,0
50350,1.063755,1.101704,0,0
50351,0.966705,0.969366,2,0
50352,0.902228,0.947244,3,0
50353,0.938308,0.967157,2,0
50357,0.972107,0.937832,4,2
50360,1.012142,0.98141,1,1
50367,0.985517,0.94603,3,2
50380,1.046323,1.036087,0,0
50382,1.153205,1.184424,0,0
50390,1.045385,1.063566,0,0
50393,1.009563,1.009137,0,0
50396,1.026036,1.006414,0,1
50407,0.89784,0.842293,10,9
50411,0.885081,0.972304,1,0
50414,0.90721,0.916087,5,0
