Facility ID,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate
30092,READM-30-PN-HRRP,304,0.9869,16.11,16.324
30092,READM-30-AMI-HRRP,123,0.9841,12.0394,12.2334
30092,READM-30-CABG-HRRP,N/A,0.9177,9.2351,10.0637
30093,READM-30-HIP-KNEE-HRRP,N/A,0.9163,4.2458,4.6334
30093,READM-30-HF-HRRP,596,0.9377,19.3223,20.6062
30093,READM-30-COPD-HRRP,256,0.9685,16.9668,17.5191
30093,READM-30-PN-HRRP,950,1.0062,16.2678,16.1676
30093,READM-30-AMI-HRRP,251,0.9738,11.6864,12.0007
30093,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30094,READM-30-HIP-KNEE-HRRP,175,1.2002,5.0642,4.2195
30094,READM-30-HF-HRRP,379,0.9386,19.2905,20.5524
30094,READM-30-COPD-HRRP,127,1.0224,19.1078,18.6883
30094,READM-30-PN-HRRP,326,1.0559,17.1722,16.263
30094,READM-30-AMI-HRRP,243,1.0382,14.8245,14.2792
30094,READM-30-CABG-HRRP,N/A,0.9021,10.7728,11.9422
30101,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30101,READM-30-PN-HRRP,158,1.0338,17.4144,16.8454
30101,READM-30-HF-HRRP,216,0.9858,21.2744,21.5808
30101,READM-30-AMI-HRRP,142,1.0402,13.3738,12.8575
30101,READM-30-CABG-HRRP,0,N/A,N/A,N/A
30101,READM-30-COPD-HRRP,145,0.9831,19.5567,19.8935
30103,READM-30-CABG-HRRP,N/A,1.0136,11.9615,11.8013
30103,READM-30-HF-HRRP,759,0.9963,21.5081,21.5883
30103,READM-30-PN-HRRP,677,0.906,15.8533,17.4981
30103,READM-30-HIP-KNEE-HRRP,679,0.7652,3.0219,3.9494
30103,READM-30-AMI-HRRP,168,0.9567,13.2558,13.8554
30103,READM-30-COPD-HRRP,121,0.9003,18.4817,20.5278
30105,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30105,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30105,READM-30-AMI-HRRP,435,1.0793,13.3563,12.3755
30105,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30105,READM-30-CABG-HRRP,203,1.0342,10.4729,10.1267
30105,READM-30-HF-HRRP,409,0.9335,18.6892,20.0201
30107,READM-30-HIP-KNEE-HRRP,851,0.7609,2.5321,3.3276
30107,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30107,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30107,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30107,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30107,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30108,READM-30-HIP-KNEE-HRRP,710,0.9774,3.1525,3.2256
30108,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30108,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30108,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30108,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30108,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30110,READM-30-HIP-KNEE-HRRP,N/A,1.1027,4.5485,4.1248
30110,READM-30-HF-HRRP,178,1.0242,22.1408,21.6186
30110,READM-30-COPD-HRRP,126,0.9831,18.513,18.8318
30110,READM-30-PN-HRRP,259,1.0883,16.5172,15.1766
30110,READM-30-AMI-HRRP,N/A,0.8747,10.7072,12.2413
30110,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30111,READM-30-PN-HRRP,97,0.9803,15.9401,16.2611
30111,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30111,READM-30-HF-HRRP,66,0.9752,20.681,21.2067
30111,READM-30-AMI-HRRP,N/A,0.9725,14.8802,15.3003
30111,READM-30-COPD-HRRP,N/A,0.9989,22.5498,22.5744
30111,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30112,READM-30-HIP-KNEE-HRRP,450,1.2487,4.0565,3.2487
30112,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30112,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30112,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30112,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30112,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30113,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30113,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30113,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30113,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30113,READM-30-PN-HRRP,N/A,0.9705,13.0997,13.4985
