Facility ID,casemixindex,cases
140275,1.6264,807
140276,2.5101,"6,166"
140280,1.8811,"3,109"
140281,2.5237,"10,920"
140286,1.6955,"2,068"
140288,2.0488,"4,824"
140289,1.5341,"1,804"
140290,1.7562,"3,628"
140291,1.9341,"4,202"
140292,1.6401,"1,067"
140294,1.6545,373
140300,1.2466,61
140304,1.7391,"1,313"
140307,1.4012,326
150001,1.4225,598
150002,1.744,"3,258"
150004,1.7176,"1,256"
150005,1.7871,"1,721"
150006,1.759,"1,694"
150007,1.7663,"1,323"
150008,1.6719,"1,245"
150009,1.6672,"2,523"
150010,1.7035,"1,370"
150011,1.4397,"1,363"
150012,1.9108,"3,302"
150015,1.6862,"2,502"
150017,2.1946,"4,559"
150018,1.8655,"2,950"
150021,1.9042,"7,533"
150022,1.4545,529
150023,1.8577,"5,195"
150024,2.0403,"1,926"
150026,1.82,"1,068"
150030,1.4598,900
150034,1.7414,"3,479"
150035,1.8148,"3,625"
150037,1.527,853
150042,1.6469,"2,095"
150044,1.942,"4,408"
150045,1.3482,333
150046,1.8972,"1,538"
150047,1.4689,235
150048,1.7783,"5,527"
150051,1.8663,"3,900"
150056,2.3983,"9,840"
150057,1.8376,808
150058,1.8516,"4,164"
150059,1.6538,"1,088"
150061,1.5012,420
150065,1.9084,510
150069,1.4367,"1,109"
150072,1.5013,467
150074,2.0483,"3,834"
150075,1.3284,241
150076,1.4954,512
150082,1.9111,"12,078"
150084,2.337,"7,424"
150086,1.5389,"1,331"
150088,1.6439,"1,311"
150089,1.7857,"5,348"
150090,1.7234,"1,826"
150091,1.3766,328
150097,1.5649,963
150100,2.1173,"4,144"
150101,1.3085,348
150102,1.214,182
150104,1.5667,652
150109,1.9809,"3,117"
150112,1.7391,"3,106"
150113,1.7306,"1,455"
150115,1.6939,"1,818"
150125,2.0111,"6,114"
150126,1.8864,"3,206"
150128,1.6769,"2,484"
150133,1.3974,782
150146,1.3417,435
150149,1.6851,39
150150,1.7089,532
150153,3.8491,"1,668"
150157,1.9519,"1,169"
150158,1.8194,"2,159"
150160,2.4776,688
150161,1.6405,"1,688"
150162,2.2195,"6,085"
150165,1.6361,"1,110"
150166,2.709,248
150167,3.3485,123
150168,2.6516,402
150169,1.7945,"3,482"
150172,2.2745,132
150173,1.688,"3,367"
150177,2.3813,109
150179,1.2765,116
150181,1.6273,219
150183,1.7623,434
150191,1.0723,27
160001,1.5726,417
160005,1.3681,664
160008,1.2209,178
160013,1.3427,375
160016,1.8092,"1,279"
160028,1.7873,"1,146"
160029,1.801,"2,191"
160030,1.5826,"2,955"
160032,1.5828,268
160033,2.0971,"4,306"
160040,1.646,208
160045,1.9763,"3,583"
160047,1.6614,"2,011"
160057,1.6948,"2,148"
160058,2.5739,"8,092"
160064,1.8829,"4,341"
160067,1.6652,"1,419"
160069,1.7709,"3,883"
160079,1.5841,"3,350"
160080,1.5779,"1,116"
160082,1.9802,"9,930"
160083,2.3004,"8,059"
160089,1.4904,761
160101,1.3892,361
160104,1.8136,888
160110,1.9809,"2,497"
160112,1.709,751
160117,1.8537,"1,247"
160122,1.4833,240
160124,1.4069,571
160146,1.888,"1,979"
160147,1.5007,437
160153,2.1235,"2,660"
170006,1.7693,888
170009,1.3809,599
170012,1.9424,"3,005"
170013,2.0039,"2,403"
170014,1.5303,475
170016,1.8004,"2,795"
170017,1.4767,305
170020,1.8819,"1,838"
170023,1.6938,970
170027,1.6577,642
170040,2.5369,"11,097"
170049,1.7559,"3,244"
170068,1.8445,799
170074,1.5157,327
170075,1.1178,138
170086,2.0131,"7,967"
170103,1.6953,"1,048"
170104,1.8763,"4,216"
170105,1.4879,318
